SimulationID,NodeID,NodeType,EnergyConsumed
3,16,Client,"1483,75470"
3,17,Malicious Server,"87,74454"
3,18,Malicious Server,"50,99772"
3,19,Malicious Server,"36,62318"
3,20,Malicious Server,"65,22739"
3,21,Malicious Server,"29,78450"
3,22,Malicious Server,"76,26283"
3,23,Malicious Server,"101,95784"
3,24,Malicious Server,"114,00011"
3,25,Malicious Server,"54,40447"
3,26,Malicious Server,"89,07326"
3,27,Malicious Server,"99,46652"
3,28,Malicious Server,"55,89598"
3,29,Malicious Server,"115,61438"
3,30,Malicious Server,"131,33364"
3,31,Benevolent Server,"62,24750"
3,32,Benevolent Server,"72,23984"
3,33,Benevolent Server,"57,44314"
3,34,Benevolent Server,"30,64753"
3,35,Benevolent Server,"52,04285"
3,36,Benevolent Server,"44,62032"
3,37,Benevolent Server,"43,25080"
3,38,Benevolent Server,"50,83807"
3,39,Benevolent Server,"111,74827"
3,40,Benevolent Server,"43,49798"
3,41,Benevolent Server,"128,61418"
3,42,Benevolent Server,"12,23036"
3,43,Benevolent Server,"63,67833"
3,44,Benevolent Server,"36,97817"
3,45,Benevolent Server,"43,56753"
3,46,Benevolent Server,"23,71454"
3,47,Benevolent Server,"31,64870"
3,48,Benevolent Server,"64,11068"
3,49,Benevolent Server,"84,90644"
3,50,Benevolent Server,"23,64094"
3,51,Benevolent Server,"122,49790"
3,52,Benevolent Server,"120,97292"
3,53,Benevolent Server,"65,29473"
3,54,Benevolent Server,"50,78339"
3,55,Benevolent Server,"96,26922"
3,56,Benevolent Server,"35,95203"
3,57,Benevolent Server,"65,78959"
3,58,Benevolent Server,"104,33601"
3,59,Benevolent Server,"56,66707"
3,60,Benevolent Server,"114,35065"
3,61,Benevolent Server,"62,53991"
3,62,Benevolent Server,"31,55886"
3,63,Benevolent Server,"53,87772"
3,64,Benevolent Server,"22,14257"
3,65,Benevolent Server,"27,82838"
3,66,Benevolent Server,"64,20874"
3,67,Benevolent Server,"34,31576"
3,68,Benevolent Server,"116,77570"
3,69,Benevolent Server,"29,62710"
3,70,Benevolent Server,"41,98929"
3,71,Relay/Other,"55,77653"
3,72,Relay/Other,"56,08192"
3,73,Relay/Other,"86,58470"
3,74,Relay/Other,"38,52977"
3,75,Relay/Other,"50,01041"
3,76,Relay/Other,"117,50874"
3,77,Relay/Other,"56,37628"
3,78,Relay/Other,"50,94590"
3,79,Relay/Other,"83,58907"
3,80,Relay/Other,"46,41451"
3,81,Relay/Other,"16,38931"
3,82,Relay/Other,"37,05158"
3,83,Relay/Other,"70,85166"
3,84,Relay/Other,"95,93673"
3,85,Relay/Other,"89,31336"
3,86,Relay/Other,"76,19720"
3,87,Relay/Other,"11,77449"
3,88,Relay/Other,"44,49237"
3,89,Relay/Other,"57,15273"
3,90,Relay/Other,"17,28964"
3,91,Relay/Other,"130,69937"
3,92,Relay/Other,"49,55330"
3,93,Relay/Other,"12,43905"
3,94,Relay/Other,"17,88937"
3,95,Relay/Other,"31,57309"
3,96,Relay/Other,"84,17654"
3,97,Relay/Other,"56,92012"
3,98,Relay/Other,"58,93076"
3,99,Relay/Other,"31,69015"
3,100,Relay/Other,"14,21201"
3,101,Relay/Other,"55,99212"
3,102,Relay/Other,"27,72554"
3,103,Relay/Other,"21,09755"
